AS34479,High Current Electronics Institute,NULL
AS15329,Custom Edge Incorporated,NULL
AS7645,Deakin University,Australia
AS14720,Gamma Networking Inc.,Canada
AS43967,Teremki LAN LLC,Ukraine
AS8614,ITC Institutul Pentru Tehnica De Calcul SA,Romania
AS199269,Ardenta Limited,NULL
AS28068,Universidad Nacional de San Luis,NULL
AS40537,Zuckerman Spaeder LLP,NULL
AS38280,Monash University Sunway Campus Malaysia,Australia
AS16372,Orange Web Services S.L.,Spain
AS30639,Computer Marketing Corporation,NULL
AS27742,Amnet Telecomunicaciones S.A.,Nicaragua
AS61116,PE Starukh Vadim Vladimirovich,Ukraine
AS16037,AB Tetra Pak,Sweden
AS26522,Netwave Technologies Inc.,NULL
AS36056,Alaska Native Medical Center,NULL
AS51389,Pankl Racing Systems AG,NULL
AS25849,FiLogix Inc.,NULL
AS263637,DE SOUZA PINTO FILHO INFORMATICA,NULL
AS132206,ePLDT Inc.,NULL
AS131474,Gumtree.com Australia Pty Ltd,Australia
AS197380,IT Point Systems AG,Switzerland
AS33328,Norton Healthcare,NULL
AS41586,Zoloti Vorota Corporation,Ukraine
AS47259,PE Fedorov Pavel Vladimirovich,NULL
AS263553,INTERNET E INFORMATICA,NULL
AS197208,msg systems ag,Germany
AS14481,Brodart Company,NULL
AS8228,Societe Francaise du Radiotelephone S.A,France
AS53430,Amerinet,NULL
AS14694,General Telecom,NULL
AS18371,Neighbourhood Cable,Australia
AS13775,Mathbox Inc.,NULL
AS23720,Fusion Communication Corporation,Japan
AS262455,BRAXIS S.A.,NULL
AS61373,Connect The World Ltd,NULL
AS17325,AUTOPART INTERNATIONAL INC,NULL
AS198565,Germania Sport d.o.o.,Croatia
AS39370,Saudi Basic Industries Co,NULL
AS10531,Terra Networks Brasil S.A.,NULL
AS55706,G1 Enterprise 1 Technology Park Malaysia,NULL
AS43001,Domodedovo International Airport,NULL
AS199898,Haemimont AD,NULL
AS37244,DTDOBIE,Kenya
AS20472,Synergy Networks,NULL
AS43209,StavSvyazInform ZAO,NULL
AS48711,OOO Matritsa,NULL
AS198035,MIRASOFT Sp. z o.o.,Poland
AS5265,DoD Network Information Center,NULL
AS56964,CONQUISTADOR 2008 SRL,NULL
AS35979,WBI,NULL
AS197200,LLC Internet Tehnologii,NULL
AS18591,New York Foundling,NULL
AS55088,Adviser Investments LLC,NULL
AS30097,NuWave,NULL
AS2819,GTS Czech s.r.o.,Slovakia
AS62545,xTech Holdings Inc.,NULL
AS49919,CJSC Indesit International,NULL
AS19243,Atlantic Coast Mortgage LLC,NULL
AS33056,ABM Integrated Solutions,Canada
AS52853,UNIVERSIDADE FEDERAL DE LAVRAS,NULL
AS60993,Totalsoft SA,Romania
AS29600,Latvenergo,Latvia
AS7456,Interhop Network SERVICES Inc.,Canada
AS20235,Mylan Pharmaceuticals Inc.,NULL
AS30739,Lenzing AG,NULL
AS12860,Axarnet Comunicaciones SL,Spain
AS35623,Setevie Tehnologii LLC,NULL
AS48744,Cdiscount SA,France
AS38388,Bukbu District Office of Education in Seoul,NULL
AS56720,FORTUNA Ltd,NULL
AS14238,Innovative Networks LLC,NULL
AS38547,WITRIBE PAKISTAN LIMITED,Pakistan
AS39139,Menzies Aviation Plc,NULL
AS5390,Online Breedband B.V.,Netherlands
AS55236,CBC,NULL
AS58147,Bell Integrator JSC,NULL
AS31856,CABS,Zimbabwe
AS40964,ASTELNET s.r.o.,Germany
AS9044,BSE Software GmbH,Switzerland
AS28513,Uninet S.A. de C.V.,NULL
AS46031,PT. PATRA TELEKOMUNIKASI INDONESIA,Indonesia
AS50409,SIA Forticom,NULL
AS22685,Foundry Media LLC,NULL
AS38954,OOO TMS,NULL
AS32128,Andin International,NULL
AS40571,Netcelerate Corporation,Canada
AS50849,Comune di Lugano,Switzerland
AS50110,OBERGERICHT DES KANTON ZURICH,Switzerland
AS5504,Logosnet Services Limited,Cyprus
AS51712,FABRYO CORPORATION S.R.L.,Romania
AS36255,RIMQ,Canada
AS43106,Nevacom Ltd,NULL
AS8237,dataway GmbH,Switzerland
AS32635,City of Clovis,NULL
AS43198,Outsourcery Hosting LTD,NULL
AS53069,TELECOMUNICACOES LTDA,NULL
AS13491,Florida State Board of Administration,NULL
AS263101,Netmax Tecnologia Ltda,NULL
AS54167,Questrade Inc.,Canada
AS59211,OneAsiaHost,Singapore
AS16466,Avaya Inc.,NULL
AS11536,Sunrise Communications LLC,NULL
AS20401,Hostway Corporation,NULL
AS35673,JSC Kaspi Bank,Kazakhstan
AS44454,Czestochowska Spoldzielnia Mieszkaniowa Nasza Praca,Poland
AS34695,E4A s.r.l.,Italy
AS20740,Messe Frankfurt GmbH,Germany
AS43315,EGETRA ROMANIA SA,NULL
AS42113,CJSC WEST CALL LTD,NULL
AS31400,Accelerated IT Services GmbH,Germany
AS197044,CJSC NTC STEK,NULL
AS17543,Melbourne IT US,Australia
AS47374,Ultra Todor Slavov,NULL
AS46112,CGX,NULL
AS2837,Karolinska Institutet,Sweden
AS40693,Central Vermont Medical Center,NULL
AS47869,Netrouting,Netherlands
AS38796,AusRegistry Pty Ltd,Australia
AS50160,Behin Saman Gostar Ltd.,NULL
AS10843,Advanced Internet Technologies,NULL
AS20926,Oceanet Technology SAS,France
AS21016,Telecentrs Internet Service Autonomous System,Latvia
AS30462,NexGen Integrated Communications,NULL
AS37479,CTEL,NULL
AS9523,Mokwon University,NULL
AS58433,Himalayan Bank Ltd.,Nepal
AS196873,Netlancers s.r.o.,NULL
AS33607,Weidenhammer,NULL
AS199179,Major Cargo Service Jsc.,NULL
AS8640,Zurich Insurance Company,Switzerland
AS48394,Venis s.p.a.,Italy
AS49523,STATKRAFT MARKETS GMBH,Germany
AS48126,Cablenetswiss,Switzerland
AS61229,Aiva Ltd.,NULL
AS8971,IT Solutions and Services GmbH,Austria
AS37406,RCS,Sudan
AS49315,Centrsvyaz CJSC,NULL
AS24705,The Communication Gateway Ltd,NULL
AS197097,ZAO Bankovskie Informacionnye Sistemy,NULL
AS25342,Kuoni Reisen AG,Switzerland
AS6737,Valvolari S.r.l,Italy
AS21708,San Diego County Office of Education,NULL
AS53899,Pine River Capital Management,NULL
AS30112,AMERICAN LAND TITLE ASSOCIATION,NULL
AS16782,Core Laboratories,NULL
AS6266,Iconn LLC,NULL
AS37214,MICROLINK,Zambia
AS16150,Availo Networks AB,Norway
AS8856,UkrNet Ltd,Ukraine
AS43717,UBIFRANCE AGENCE FRANCAISE POUR LE DEVELOPPEMENT INTERNATIONAL,France
AS44690,Kofax Pooling AG,Switzerland
AS52739,INTERSOUSA LTDA,NULL
AS262151,Cubika Consulting SA,Argentina
AS51317,Energytel LLC,Ukraine
AS35179,Korbank sp. z o.o.,Poland
AS34059,SPAR Magyarorszag Kereskedelmi Kft,Slovenia
AS54204,HEARST CORPORATION,NULL
AS38827,AS for REANNZ customer Kristin School Auckland,NULL
AS58283,Institute of Applied Technology,NULL
AS133145,Trimble Planning Solutions Pty Ltd,NULL
AS9710,NeoWiz Corporation,NULL
AS60246,Winds park Novoazovskiy Ltd.,NULL
AS31875,Hochheim Prairie Farm Mutual Insurance Association,NULL
AS13691,Metropolitan Community College,NULL
AS1956,IBM,NULL
AS49254,Alternet Ltd,Georgia
AS35540,OVH SAS,France
AS16935,Kingland Systems Corp.,NULL
AS35446,INTRASOFT International S.A.,Greece
AS26336,Tahoe Forest Hospital District,NULL
AS28088,Inversiones Apolo S.A. de C.V.,Honduras
AS48152,Prest Romadam SRL,Romania
AS30589,ActiveHost Corporation,NULL
AS21897,Virtua Health,NULL
AS60562,Ministry Of Health and Medical Education,NULL
AS132594,RAA INSURANCE LIMITED,Australia
AS393367,Teton County Hospital District,NULL
AS48624,Totcable,Spain
AS14868,Telecom S.A.,NULL
AS42453,Asseco Poland S.A.,Poland
AS14912,IBM,NULL
AS23940,THOMSON FINANCIAL. Financial Content provider.Tokyo,NULL
AS35785,ZepterIT Sp.z.o.o.,Poland
AS22734,Devry Inc,NULL
AS9234,Sol One Application Delivery Network,Singapore
AS14766,Magnetar Capital LLC,NULL
AS3917,Shell Information Technology International B.V.,Europe
AS47121,Sensemakers B.V.,Netherlands
AS57098,Imedia Plus Group SA,NULL
AS262668,Mar Provedor de Internet Ltda,NULL
AS44897,PE Grebenjukoff A V,Ukraine
AS36197,Ellipse Group Inc,NULL
AS26431,Spectrum Data Services,NULL
AS132702,TUV Rheinland Hong Kong Ltd.,NULL
AS14938,Bullseye Telecom,NULL
AS47820,Cegid SA,France
AS12570,itself s.r.o.,NULL
AS54664,TBC Corporation,NULL
AS59705,POBOX Hosting Limited,NULL
AS51345,EDIVIA SARL,France
AS44444,Websense Hosted Security Network,Mauritius
AS57811,Atende Software sp. z o.o.,Poland
AS38631,LINE Corporation,Japan
AS3083,Credit Suisse Group,NULL
AS56650,TAV BILISIM HIZMETLERI A.S.,Turkey
AS54755,Desert Winds Wireless Inc,NULL
AS39727,ZZI d.o.o.,Slovenia
AS30717,Greer CPW,NULL
AS48248,ISD Huta Czestochowa Sp. z o.o.,Poland
AS54870,SESCO Enterprises LLC,NULL
AS34836,CJSC Ruscentrosvyaz,NULL
AS38847,National Chung Hsing University,NULL
AS197206,BusinessCom Networks Limited,Germany
AS4645,HKNet Co. Ltd,NULL
AS38551,JPMORGAN Australia,Australia
AS43552,MedTech Ltd.,NULL
AS18671,PRTC,NULL
AS53956,Townes Broadband Corporation,NULL
AS49266,SC FLASHNET SRL,Romania
AS35006,Camera dei Deputati,Italy
AS48468,Triumph International Service AG,Europe
AS8763,DENIC eG,Germany
AS42890,Mediplus Exim SRL,Romania
AS49567,Aptus Ltd,Ireland
AS24394,Department of the Premier and Cabinet,NULL
AS36524,Molina Healthcare Inc.,NULL
AS198423,ResoLv SARL,Netherlands
AS51153,Informational communications LLC,NULL
AS50037,Server Ltd.,NULL
AS29849,M9 Systems,NULL
AS30036,Mediacom Communications Corp,NULL
AS56468,MC NETWORKING Sh.p.k.,Albania
AS52217,OOO ISKRA,NULL
AS49284,Milano Teleport spa,Italy
AS45407,DONGWON ENTERPRISE,NULL
AS27720,TELECOM LTDA,NULL
AS11653,Puerto Rico Webmasters,NULL
AS20116,ECONOMICA FEDERAL,NULL
AS7399,Internet Cancun S.A. de C.V.,NULL
AS62328,Andrzej Wisnicki AGG,NULL
AS61424,eServer s.r.o.,NULL
AS22177,Transit do Brasil Ltda.,NULL
AS262844,Turbonet Provedor Ltda,NULL
AS51423,Assolo Networks SA,Switzerland
AS199072,Center of Computor Research JSC,NULL
AS51967,EconGas GmbH,Austria
AS43273,Optik Line Ltd.,NULL
AS56520,BIV Piramida DOOEL,Macedonia
AS29399,Ramtek Telekomunikasyon Hizmetleri Sanayi Ve Ticaret Limited Sirketi,Turkey
AS43764,Electron Service LTD,Ukraine
AS8972,intergenia AG,Germany
AS48714,Expressz Magyarorszag Media Kft,Hungary
AS48142,Permanet Ltd,Ireland
AS50497,Orlicom Ltd,NULL
AS28737,Mobile Service Ltd.,NULL
AS722,DoD Network Information Center,NULL
AS13182,Made Network Srl,Italy
AS47601,Globecomm Europe B.V.,Netherlands
AS49617,PE Chernov Olexandr Valeriyovuch,Ukraine
AS16524,Metropolitan Telecomm,NULL
AS23883,Movaci Technology,Thailand
AS62192,Efficiency Network SARL,France
AS44312,Moving Art Studio ASBL,Belgium
AS5483,Magyar Telekom Plc.,Hungary
AS22160,DONLEN CORPORATION,NULL
AS18341,Gumi College,NULL
AS62,CyrusOne LLC,NULL
AS58915,Tract Pty Ltd,Australia
AS4917,AMDOCS,NULL
AS393337,University of Hartford,NULL
AS35520,SC DATA SYSTEMS SRL,NULL
AS57166,D2 International Investment Ukraine LLC,Ukraine
AS20672,Groupe Serveur SAS,France
AS11580,Island Networks Ltd,Jamaica
AS26713,The School Board of Brevard County,NULL
AS39944,Telecom North America Inc.,Germany
AS202143,Sarpcom Software Sirketi Limited,Cyprus
AS50244,Pixel View SRL,Romania
AS41654,Inetra Ltd,NULL
AS11620,Succeed.Net,NULL
AS40191,ZEROFAIL,Canada
AS9082,SINUS Ltd.,NULL
AS25068,Konica Minolta Business Solutions Europe GmbH,Germany
AS37665,MouNa,Guinea
AS197725,OJSC Bashkirenergo,NULL
AS8870,Operator of Virtual Data Computing LLC,Ukraine
AS52622,Tribunal Regional do Trabalho da 4 Regiao,NULL
AS26058,Netsmart Technologies,NULL
AS19701,Yodlee Inc.,NULL
AS55163,LinkedIn Corporation,NULL
AS59690,Camara Municipal de Lisboa,Portugal
AS45734,PT Media Televisi Indonesia,Indonesia
AS45528,Tikona Digital Networks Pvt Ltd.,India
AS263585,NET LTDA,NULL
AS33055,Brinkster Communications Corporation,NULL
AS26970,Allston Trading LLC,NULL
AS263668,Alexandre Lacerda Rodrigues ME,NULL
AS43,Brookhaven National Laboratory,NULL
AS44875,OMNILOGIC SRL,Romania
AS43401,AFP Operations AS,Norway
AS32407,Freedom Mortgage Corporation,NULL
AS29773,Carleton University,Canada
AS3322,THEVOKE NETWORKS,NULL
AS10659,IBM,NULL
AS54411,Coryn Group Inc.,NULL
AS9959,KOREA STOCK EXCHANGE,NULL
AS20,University of Rochester,Poland
AS16417,Cisco Systems Ironport Division,NULL
AS31080,o2 Sp. Z.o.o.,Poland
AS3663,NetNet,NULL
AS12282,Selectronics Corp.,NULL
AS197802,Unidade de Tecnologias de Informacao de Seguranca,Portugal
AS47525,Tallinna Aripanga AS,Estonia
AS197211,PIXARTPRINTING S.r.l.,Italy
AS14582,Dickinson Financial Corporation,NULL
AS29617,Energy Water Bern,Switzerland
AS36322,City of St. Charles,NULL
AS12518,SHLINK Internet Service,Germany
AS49246,OJSC TRADING HOUSE GUM,NULL
AS34378,OJSC Razgulay Group,NULL
AS14768,Servmatix Inc.,NULL
AS53564,Empire Life,NULL
AS39766,Net Kabel Broadband Network,Macedonia
AS28180,TECNOLOGIA LTDA.,NULL
AS196935,ING Uslugi Finansowe SA,Poland
AS51090,Internet Society Public Organisation,Armenia
AS40469,Northeastern Educational Intermediate Unit 19,NULL
AS14358,Mackenzie Financial Corp,Canada
AS33141,NOC SERVICES CORP.,NULL
AS51089,Nimbuzz B.V.,Netherlands
AS17896,asn for Jilin Provincial Net of CT,NULL
AS199278,Adant LLC,NULL
AS51721,UniCredit Bank CJSC,NULL
AS10223,Uecomm Ltd,Australia
AS54529,Louisiana Cancer Research Center,NULL
AS41799,Eurobank EFG Bulgaria AD,Bulgaria
AS61230,Armin Pialek,NULL
AS46485,Brandywine Global Investments,NULL
AS47127,TELEMAQUE SAS,France
AS7359,Qwest Corporation,NULL
AS61337,Electronic Communities Ltd.,NULL
AS46853,Southwest Texas Telephone Company,NULL
AS17280,Priority Health,NULL
AS44916,Westbahr AB,Sweden
AS33324,Challenge Printing,NULL
AS40861,Paradise Networks LLC,NULL
AS57432,Kostromskoi zavod avtokomponentov CJSC,NULL
AS49131,PE Voloschenko Olexandr Volodumirovich,Ukraine
AS42499,Artificial Solutions Scandinavia AB,Sweden
AS200030,Dvblab Communication SL,Spain
AS25557,Poludniowy Koncern Energetyczny S.A.,Poland
AS48619,Service Online LLC,Ukraine
AS51195,Crescendo International SRL,Romania
AS52436,Cable Televisora Color,Argentina
AS28702,Delta Telecom inc.,NULL
AS262974,leal porto,NULL
AS18258,Morgan Stanley Japan Limited transit AS,NULL
AS20477,Randolph Telephone Company,NULL
AS45312,PT MEDIA LINTAS DATA,Indonesia
AS51532,FSUE Main computer center of Ministry of Agriculture of Russia,NULL
AS54066,Wurth Baer Supply Company,NULL
AS38380,China South Locomotive And Rolling Stock Industry Company,China
AS45717,Citra Candika PT.,Indonesia
AS25819,Zonereseau.com,NULL
AS29998,ZoyAR Inc,NULL
AS34770,Elit Sat Net Ltd.,NULL
AS24322,CIty Government of Makati,NULL
AS38772,PT. Smartlink Global Media.,Indonesia
AS52866,Telecom Serv em Telecomunicoes Ltda,NULL
AS57711,NetLine Ltd.,NULL
AS38897,National Voice and Data Pty Ltd,Australia
AS48304,DIGMIA s.r.o,Slovakia
AS41153,GnTel B.V.,Netherlands
AS51229,Upsystems Ltd.,NULL
AS196752,Tilaa B.V.,Netherlands
AS50530,Shabdiz Telecom Network JSC,NULL
AS7892,Bellsouth.Net,NULL
AS57502,Dolder Hotel AG,Switzerland
AS31600,Credit Ceramics autonomous system,NULL
AS11207,The Boston Globe,NULL
AS8771,YUnet International d.o.o.,Serbia
AS60863,Limited liability company Mail.Ru,NULL
AS29031,Lugansk Telephone Company,Ukraine
AS262459,Osirnet Info Telecom Ltda.,NULL
AS54846,Segment Wireless LLC,NULL
AS35203,S.C. Colibris Software S.R.L,NULL
AS53825,ALAMEDA COUNTY MEDICAL CENTER,NULL
AS16797,2nd Century Communications,NULL
AS5703,Tiger Management Coporation,NULL
AS61381,ST Holding LLC,NULL
AS36542,Gwinnett County Government,NULL
AS46478,Castor Networks Corporation,NULL
AS58367,Karmazin Sergey Alexandrovich,Ukraine
AS45069,china tietong Shandong net,NULL
AS67,Unisys Corporation,NULL
AS44948,LAST.FM LTD,NULL
AS52429,Credomatic de Costa Rica S.A.,NULL
AS32248,Reliam Inc.,NULL
AS12205,Sachem Central School District,NULL
AS44547,ASU doctor Ltd,NULL
AS39019,ELECTRONIC ARTS ROMANIA SRL,NULL
AS18239,Beijing Capital Public Information Platform,China
AS16638,Corning Incorporated,NULL
AS42121,RSNET Autonomous System,NULL
AS19329,Martin County Board of County Commissioners,NULL
AS25187,FRANCE CITEVISION SAS,France
