limit,concurrency,minutes,seconds
500000000,1,0,11.435
1000000000,1,0,27.816
1500000000,1,0,43.118
2000000000,1,0,58.617
2500000000,1,1,14.203
3000000000,1,1,30.508
3500000000,1,1,46.627
4000000000,1,2,3.006
4294967295,1,2,16.574
500000000,2,0,6.996
1000000000,2,0,14.237
1500000000,2,0,21.519
2000000000,2,0,29.137
2500000000,2,0,37.149
3000000000,2,0,44.996
3500000000,2,0,52.581
4000000000,2,1,0.767
4294967295,2,1,8.198
500000000,4,0,5.046
1000000000,4,0,9.674
1500000000,4,0,14.701
2000000000,4,0,19.583
2500000000,4,0,24.773
3000000000,4,0,29.920
3500000000,4,0,34.986
4000000000,4,0,40.057
4294967295,4,0,45.727
500000000,6,0,3.986
1000000000,6,0,7.919
1500000000,6,0,12.058
2000000000,6,0,16.127
2500000000,6,0,20.564
3000000000,6,0,24.672
3500000000,6,0,29.031
4000000000,6,0,33.155
4294967295,6,0,37.926
500000000,8,0,3.637
1000000000,8,0,7.670
1500000000,8,0,11.118
2000000000,8,0,14.611
2500000000,8,0,18.741
3000000000,8,0,22.473
3500000000,8,0,25.603
4000000000,8,0,29.491
4294967295,8,0,34.409
500000000,10,0,3.501
1000000000,10,0,7.003
1500000000,10,0,10.211
2000000000,10,0,13.848
2500000000,10,0,17.100
3000000000,10,0,20.611
3500000000,10,0,24.011
4000000000,10,0,27.727
4294967295,10,0,32.107
